nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000386	Roland Emmerich	1955	\N	writer,producer,director	tt0116629,tt0120685,tt0319262,tt1628841
nm0001185	Hector Elizondo	1936	\N	actor,director,producer	tt0100405,tt0163187,tt0368933,tt0247638
nm0001752	Steven Soderbergh	1963	\N	producer,director,cinematographer	tt0098724,tt0181865,tt1291580,tt0195685
nm0002127	Mariska Hargitay	1964	\N	actress,producer,director	tt0203259,tt0495596,tt0139414,tt0113627
nm0004176	Lisa C. Satriano	\N	\N	assistant_director,producer,director	tt0158206,tt0145487,tt1270797,tt1825683
nm0004338	David Potischman	\N	\N	actor	tt0205940,tt0167880,tt0194421
nm0004682	C. Cory M. McCrum-Abdo	1949	\N	editorial_department,producer,production_manager	tt0076759,tt0164212,tt1112782,tt0307987
nm0005051	Dominique Jennings	1965	\N	actress	tt0114369,tt0118484,tt0118475,tt0099423
nm0007666	David Brian Abalos	\N	\N	actor	tt0094027
nm0009036	Fredrik Abrahamsen	1967	\N	editor,editorial_department,sound_department	tt0203166,tt0268374,tt1014765,tt0473609
nm0009562	Louis Acariès	\N	\N	miscellaneous	tt0101547,tt9867260,tt3730312,tt21480862
nm0010939	Ed Adams	\N	\N	actor,stunts	tt0100994,tt0108100,tt0110353,tt0101412
nm0011016	Henry Adams	1899	1986	editor,sound_department,special_effects	tt0242048,tt0039001,tt0053169,tt0037777
nm0012660	Sergey Afanasev	\N	\N	director,writer,producer	tt0195310
nm0013715	José Antonio Aguirre	\N	\N	camera_department	tt0113338
nm0016349	Dawn Albe	\N	\N	actress	tt0129117,tt0113626,tt0279573
nm0016599	Tom Albert	\N	\N	camera_department,editor	tt0105178,tt0404142
nm0016960	Maciek Albrecht	\N	\N	animation_department,director,visual_effects	tt0424774,tt0354963,tt0331405,tt0239438
nm0018006	Luís Aleluia	1960	2023	actor,writer	tt24634274,tt2820336,tt14813972,tt12827254
nm0020367	Chet Allen	1939	1984	actor,soundtrack	tt0044266,tt0052519,tt1055640,tt0346348
nm0020532	Gary Allen	\N	\N	camera_department	tt0101120,tt0087556,tt0090390,tt1500910
nm0020925	Randee Allen	\N	\N	actress	tt0119746
nm0024540	María Amelia	\N	\N	\N	\N
nm0025284	Pepe Amorós	\N	\N	\N	tt0031182
nm0025403	Ezio Ambrosetti	\N	\N	actor	tt0217238,tt0084481
nm0026278	Vita Andersen	\N	\N	stunts	tt0195526
nm0026514	Chris Anderson	\N	\N	actress,archive_footage	tt0124514,tt0079949,tt0191817,tt0078727
nm0027731	Kjell I. Andersson	\N	\N	camera_department	tt0194600,tt5278254
nm0028106	Manfred Andrae	1936	2020	actor,miscellaneous	tt0485947,tt0115094,tt0229900,tt0206917
nm0029401	Adele Angard	1933	2023	costume_designer	tt0067306
nm0029788	Kristofer Angermund	\N	\N	art_department	tt0095346
nm0029973	Forbes Angus	\N	\N	actor,archive_footage	tt0195714,tt0313911,tt1765510,tt1126590
nm0030153	Sverre Anker Ousdal	1944	\N	actor	tt0205619,tt0093543,tt0119375,tt0430576
nm0030706	Gerald Anstruther	\N	\N	writer	tt0256432,tt0058334,tt0181437,tt0039123
nm0033966	Clive Arden	1888	1973	writer	tt0015335,tt0015781
nm0035914	Stewart Armstrong	\N	\N	actor	tt0292414,tt0115417,tt0148583,tt0118406
nm0037560	Sharjil Arshed	\N	\N	actor	tt0175136
nm0038458	Nelson Ascencio	1964	\N	actor,writer,director	tt1392170,tt1951264,tt1092026,tt10949044
nm0039035	Catherine Ashley	\N	\N	actress	tt0010499
nm0039058	Gene Ashley	1917	1999	actor	tt14562652
nm0039690	Göran Asplund	\N	\N	actor	\N
nm0042362	David Lloyd Austin	1943	2015	actor	tt0095705,tt0098773,tt0112111,tt0101069
nm0042675	Vili Auvinen	1931	1996	actor,director,writer	tt0048752,tt0190908,tt1464224,tt1441363
nm0043154	Joel Avila	\N	\N	actor	tt0213669,tt3854470,tt0393030,tt0865452
nm0043294	Andrey Avramov	\N	\N	actor	tt0174289,tt0252614,tt0313977,tt0166731
nm0043478	Deborah Axelrod	\N	\N	actress	tt0387990,tt0267558
nm0043543	Aixa Maldonado	\N	\N	actress	tt0469641,tt0286486,tt0428212,tt2113408
nm0044514	Fernanda Cadoni Azzolin	\N	\N	actress	tt0040222,tt12074962
nm0047148	Ben Bailey	1976	\N	actor	tt0236859,tt0207275,tt0184122
nm0053455	Ricardo Barber	1937	2018	actor	tt0189976,tt0304912,tt7853054
nm0054260	Emilio Bardi	1960	\N	actor	tt1847067,tt0124312,tt0118877,tt0299876
nm0054843	Carol Barker	\N	\N	actress	tt0157892,tt0389420,tt0202487,tt1347348
nm0055848	Arlene Barnett	\N	\N	composer,soundtrack	tt0073440
nm0055976	Saul Barnett	\N	\N	producer	tt0079807
nm0057021	Justo M. Barreto	\N	\N	actor	tt0044407
nm0058938	Michael Bartley	\N	\N	miscellaneous,producer,production_manager	tt0072572,tt0108992,tt0106084,tt0090477
nm0061144	Franco Batista	\N	\N	actor	tt0273142
nm0062046	Elke Baulig Kaiserschote	\N	\N	animation_department,visual_effects,art_department	tt0120212,tt0205678,tt1529334,tt0293849
nm0062849	Jamie Bay	\N	\N	actress	tt0152076
nm0064672	Beauregard	\N	\N	actor	tt0104428,tt0063908
nm0064675	F. Beauregard	1886	1977	actor	tt0009252
nm0066197	Patrick Bedu	\N	\N	stunts	tt0182597,tt0143150
nm0067136	Lorna Beich	\N	\N	actress	tt0248518,tt0097974
nm0068455	Pete Bell	\N	\N	special_effects	tt0120738,tt0241527,tt0112431,tt0243462
nm0070633	Hugo Øster Bendtsen	1948	1998	actor	tt0104551,tt0128891,tt0106949,tt0108009
nm0072955	Paul M. Benton	\N	\N	music_department	tt0180178,tt0303495
nm0073273	Monique Berardi	\N	\N	actress	tt0068236
nm0075028	Boris Bergshoeff	\N	\N	camera_department,miscellaneous,actor	tt7174134,tt14217100,tt27159508,tt5698140
nm0075767	Graça Berman	\N	\N	actress	tt0257293,tt0156983,tt0268337,tt0439917
nm0079139	Elisa Beth Garver	\N	\N	actress,writer	tt0105946,tt0113993,tt0105986,tt0190540
nm0080013	Gérard Beytout	1930	1990	producer,miscellaneous,production_manager	tt0064816,tt0058135,tt0069747,tt0059241
nm0080470	Jello Biafra	1958	\N	actor,composer,producer	tt0368008,tt1077258,tt0110632,tt0462322
nm0080655	Robin Bianchi	\N	\N	script_department,director,writer	tt11083552,tt0370254,tt0247095,tt0108978
nm0083760	Ed Birrane	\N	\N	actor	tt0214610
