tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0002987	movie	How Fine, How Fresh the Roses Were	Kak khoroshi, kak svezhi byli rozy	0	1913	\N	\N	Romance
tt0003022	movie	Ivanhoe	Ivanhoe	0	1913	\N	53	Adventure,Drama,Romance
tt0003429	short	A Tammany Boarder	A Tammany Boarder	0	1913	\N	\N	Comedy,Short
tt0003781	short	Colonel Heeza Liar Shipwrecked	Colonel Heeza Liar Shipwrecked	0	1914	\N	8	Animation,Comedy,Short
tt0004498	short	Professor Snaith	Professor Snaith	0	1914	\N	\N	Comedy,Short
tt0004623	short	The Spark of Manhood	The Spark of Manhood	0	1913	\N	\N	Drama,Short
tt0004978	movie	Blackbirds	Blackbirds	0	1915	\N	50	Drama
tt0005810	short	A Night Out	A Night Out	0	1915	\N	34	Comedy,Short
tt0007317	movie	The Secret of the Submarine	The Secret of the Submarine	0	1916	\N	\N	Action
tt0008013	short	Gladys' Day Dreams	Gladys' Day Dreams	0	1917	\N	20	Comedy,Short
tt0009831	movie	Woman and Wife	Woman and Wife	0	1918	\N	50	Drama,Romance
tt0010057	short	A Day's Pleasure	A Day's Pleasure	0	1919	\N	20	Comedy,Short
tt0010420	movie	The Man Who Forgot	The Man Who Forgot	0	1919	\N	\N	Drama,Romance
tt0010985	movie	Behold My Wife	Behold My Wife	0	1920	\N	70	Drama
tt0011403	movie	Lifting Shadows	Lifting Shadows	0	1920	\N	60	Drama
tt0011792	movie	True Tilda	True Tilda	0	1920	\N	\N	Drama
tt0014253	movie	A Man of Action	A Man of Action	0	1923	\N	60	Comedy,Crime,Drama
tt0017164	movie	Money Talks	Money Talks	0	1926	\N	70	Comedy
tt0017915	movie	The Galloping Gobs	The Galloping Gobs	0	1927	\N	50	Western
tt0017970	movie	Hawk of the Hills	Hawk of the Hills	0	1927	\N	200	Western
tt0018322	movie	Rich But Honest	Rich But Honest	0	1927	\N	60	Comedy,Drama
tt0020275	movie	Pleasure Crazed	Pleasure Crazed	0	1929	\N	60	Drama
tt0022800	short	The Dancing Fool	The Dancing Fool	0	1932	\N	7	Animation,Comedy,Family
tt0023520	movie	A Strange Adventure	A Strange Adventure	0	1932	\N	60	Crime,Drama,Film-Noir
tt0024671	movie	The Tiger of Yautepec	El tigre de Yautepec	0	1933	\N	86	Adventure,Drama
tt0025123	movie	Flickorna från Gamla sta'n	Flickorna från Gamla sta'n	0	1934	\N	96	Comedy
tt0025819	movie	Speed Wings	Speed Wings	0	1934	\N	61	Action,Adventure,Crime
