tconst	ordering	nconst	category	job	characters
tt0000542	5	nm0005717	director	\N	\N
tt0001116	11	nm0375839	director	\N	\N
tt0002593	8	nm0111753	director	\N	\N
tt0002707	11	nm0001908	director	\N	\N
tt0005206	2	nm0922928	director	director	\N
tt0005361	11	nm0043018	director	\N	\N
tt0007851	7	nm0432216	director	\N	\N
tt0009158	11	nm0652650	director	\N	\N
tt0010210	1	nm0279404	director	\N	\N
tt0011947	3	nm0085133	director	\N	\N
tt0013881	7	nm0060133	director	\N	\N
tt0017180	11	nm0736279	director	\N	\N
tt0017265	9	nm0565402	director	director	\N
tt0017698	11	nm0820461	director	\N	\N
tt0018706	12	nm0671501	director	\N	\N
tt0019921	5	nm0114266	director	\N	\N
tt0020404	11	nm0820461	director	\N	\N
tt0023761	11	nm0341486	director	\N	\N
tt0023925	11	nm0833965	director	director	\N
tt0024079	11	nm0747844	director	\N	\N
tt0024857	11	nm1093049	director	\N	\N
tt0027689	15	nm0312866	director	\N	\N
tt0028557	11	nm0823864	director	\N	\N
tt0028734	10	nm0940499	director	\N	\N
tt0030515	11	nm0800373	director	\N	\N
tt0033541	11	nm0131021	director	\N	\N
tt0036091	11	nm0329574	director	\N	\N
tt0037096	11	nm0307819	director	\N	\N
tt0037321	2	nm0585405	director	\N	\N
tt0038147	11	nm0419282	director	\N	\N
tt0038152	2	nm0053484	director	\N	\N
tt0038686	12	nm0444217	director	\N	\N
tt0039141	11	nm0529936	director	\N	\N
tt0041378	11	nm0281507	director	director	\N
tt0042790	11	nm0005789	director	\N	\N
tt0043379	11	nm0909825	director	\N	\N
tt0045498	11	nm0806692	director	\N	\N
tt0047320	11	nm0936823	director	\N	\N
tt0047367	12	nm0785488	director	director	\N
tt0047845	11	nm0624535	director	\N	\N
tt0048388	11	nm0645041	director	\N	\N
tt0049790	7	nm0752922	director	\N	\N
tt0050341	4	nm0571781	director	\N	\N
tt0050980	11	nm0375092	director	\N	\N
tt0051879	11	nm0724798	director	\N	\N
tt0052591	11	nm0459801	director	\N	\N
tt0054374	11	nm0138893	director	\N	\N
tt0054936	11	nm0514822	director	\N	\N
tt0056152	2	nm0651915	director	\N	\N
tt0062203	11	nm0237424	director	\N	\N
tt0062869	7	nm0803313	director	\N	\N
tt0063148	11	nm0084983	director	\N	\N
tt0067003	11	nm0675068	director	\N	\N
tt0067105	11	nm0823906	director	\N	\N
tt0068778	7	nm0000776	director	\N	\N
tt0068978	10	nm0488574	director	director	\N
tt0070092	11	nm0106386	director	\N	\N
tt0071207	18	nm0732306	director	\N	\N
tt0071309	11	nm0520640	director	\N	\N
tt0071557	11	nm0320510	director	\N	\N
tt0072888	12	nm0160108	director	\N	\N
tt0072903	8	nm0571558	director	\N	\N
tt0073485	6	nm0219959	director	\N	\N
tt0075009	11	nm0000780	director	\N	\N
tt0077687	17	nm0710230	director	\N	\N
tt0078380	11	nm0823630	director	\N	\N
tt0078799	11	nm0894758	director	\N	\N
tt0079369	1	nm0749914	director	director	\N
tt0081036	11	nm0059563	director	\N	\N
tt0081213	11	nm0217005	director	\N	\N
tt0082294	11	nm0546239	director	\N	\N
tt0082711	9	nm0044466	director	director	\N
tt0084914	12	nm0316830	director	\N	\N
tt0085781	11	nm0618117	director	\N	\N
tt0088107	12	nm0538332	director	\N	\N
tt0091487	11	nm0440914	director	\N	\N
tt0092948	11	nm0870186	director	\N	\N
tt0093935	11	nm0342487	director	\N	\N
tt0098153	11	nm0000750	director	\N	\N
tt0098445	11	nm0557621	director	\N	\N
tt0099649	11	nm0863254	director	\N	\N
tt0101734	11	nm0906548	director	\N	\N
tt0102082	10	nm0349362	director	\N	\N
tt0102476	14	nm0782206	director	director	\N
tt0104637	1	nm0836464	director	\N	\N
tt0104987	11	nm0227187	director	\N	\N
tt0106646	16	nm0476777	director	\N	\N
tt0106662	11	nm0920862	director	\N	\N
tt0107460	11	nm0492368	director	\N	\N
tt0108036	10	nm0541244	director	\N	\N
tt0114806	6	nm0135332	director	\N	\N
tt0115874	5	nm0547897	director	\N	\N
tt0115897	11	nm0002870	director	\N	\N
tt0117517	11	nm0257845	director	\N	\N
tt0120295	11	nm0389263	director	\N	\N
tt0120741	11	nm0000720	director	\N	\N
tt0125537	11	nm0641300	director	\N	\N
tt0125825	11	nm0373352	director	\N	\N
tt0126623	6	nm0822627	director	\N	\N
tt0128471	11	nm0613299	director	\N	\N
tt0129049	11	nm0578194	director	\N	\N
tt0129895	10	nm0653174	director	\N	\N
tt0131781	11	nm0223493	director	\N	\N
tt0132998	11	nm0472067	director	\N	\N
tt0137386	11	nm0641373	director	\N	\N
tt0139962	11	nm0531372	director	\N	\N
tt0140720	5	nm0344933	director	\N	\N
tt0140793	11	nm0617473	director	\N	\N
tt0141330	9	nm0455200	director	\N	\N
tt0142191	5	nm0634366	director	director	\N
tt0142321	10	nm0847690	director	\N	\N
tt0142580	9	nm0289245	director	\N	\N
tt0144537	2	nm0957310	director	\N	\N
tt0145569	4	nm0407990	director	director	\N
tt0146343	1	nm0448414	director	\N	\N
tt0146828	1	nm0856056	director	\N	\N
tt0147206	1	nm0287888	director	\N	\N
tt0147823	11	nm0079532	director	\N	\N
tt0148054	11	nm0334775	director	\N	\N
tt0148181	4	nm0926880	director	\N	\N
tt0148276	9	nm0738680	director	\N	\N
tt0148755	5	nm0397340	director	director	\N
tt0150263	11	nm0071734	director	\N	\N
tt0151126	11	nm0257681	director	director	\N
tt0151283	1	nm0009778	director	\N	\N
tt0153831	10	nm0511107	director	director	\N
tt0155674	5	nm0520548	director	\N	\N
tt0156905	1	nm0386972	director	director	\N
tt0157339	11	nm0154113	director	\N	\N
tt0157731	4	nm0349426	director	\N	\N
tt0158157	7	nm0285643	director	\N	\N
tt0158496	3	nm0776369	director	\N	\N
tt0158603	7	nm0482076	director	\N	\N
tt0159731	4	nm1189471	director	\N	\N
tt0163757	3	nm0233557	director	\N	\N
tt0164198	5	nm0323786	director	\N	\N
tt0165895	11	nm0002988	director	director	\N
tt0166166	11	nm0791027	director	\N	\N
tt0166472	11	nm0001090	director	director	\N
tt0166962	2	nm0619475	director	\N	\N
tt0167389	8	nm0250034	director	\N	\N
tt0168549	1	nm0639631	director	\N	\N
tt0173750	11	nm0631915	director	\N	\N
tt0176120	1	nm0061198	director	\N	\N
tt0179777	11	nm0136579	director	\N	\N
tt0180478	11	nm0160545	director	\N	\N
tt0180719	11	nm0556432	director	\N	\N
tt0183195	14	nm0765430	director	director	\N
tt0183440	11	nm0146974	director	\N	\N
tt0183962	12	nm0255386	director	\N	\N
tt0188589	11	nm0309775	director	\N	\N
