tconst	averageRating	numVotes
tt0000067	5.4	80
tt0000140	4.9	325
tt0000145	3.5	14
tt0000196	5.0	31
tt0000679	5.3	74
tt0000704	5.3	59
tt0001099	5.0	17
tt0001234	5.7	45
tt0001557	4.8	116
tt0001614	6.4	42
tt0002065	6.2	65
tt0003278	7.1	20
tt0003600	6.4	22
tt0003657	6.5	254
tt0004399	6.5	24
tt0005147	5.3	138
tt0005810	5.9	1885
tt0007811	6.1	25
tt0008004	6.8	30
tt0008321	8.0	14
tt0008723	6.2	89
tt0009431	6.0	18
tt0009630	6.7	27
tt0010879	6.9	985
tt0012771	5.9	46
tt0013938	5.3	34
tt0014322	7.1	25
tt0014608	6.1	41
tt0014797	6.3	74
tt0015456	7.0	60
tt0017443	6.7	14
tt0017703	5.2	55
tt0018156	5.1	21
tt0018166	6.8	544
tt0018345	6.9	36
tt0018348	5.3	12
tt0019791	8.1	26
tt0020014	5.8	153
tt0020487	6.8	812
tt0020708	7.3	2284
tt0020890	6.1	296
tt0021100	5.4	249
tt0021131	5.3	41
tt0021492	6.2	168
tt0022333	4.6	21
tt0022720	7.7	9
tt0022771	6.6	12
tt0022789	5.9	187
tt0023637	5.1	104
tt0023991	5.6	117
tt0024209	5.4	54
tt0024295	4.8	68
tt0024573	5.5	88
tt0024857	6.0	170
tt0024996	5.9	64
tt0025306	4.9	51
tt0025389	7.1	21
tt0025684	5.3	24
tt0025728	5.6	34
tt0026464	7.6	13
tt0027035	7.2	177
tt0027504	5.1	215
tt0027765	5.4	62
tt0028330	6.4	1747
tt0028332	6.1	19
tt0028438	6.8	316
tt0028999	6.2	40
tt0029026	5.9	177
tt0029166	5.4	231
tt0029240	6.1	75
tt0029449	6.6	17
tt0029594	6.5	862
tt0029832	6.7	209
tt0029951	6.0	664
tt0029964	5.0	133
tt0030340	5.5	158
tt0030458	5.5	16
tt0030578	6.2	46
tt0030594	7.5	44
tt0031238	5.9	47
tt0031533	5.7	247
tt0031736	5.8	192
tt0031976	7.0	1182
tt0032603	6.4	214
tt0032616	6.6	37
tt0032744	5.7	199
tt0032857	6.1	32
tt0033809	7.5	353
tt0033898	5.6	131
tt0034088	5.9	119
tt0034224	5.3	1841
tt0034546	5.3	1240
tt0034817	7.2	25
tt0035010	6.0	70
tt0035153	7.0	2536
tt0035320	6.4	717
tt0035339	6.4	22
tt0035351	7.1	466
tt0035363	6.6	81
tt0036045	5.8	27
tt0036533	6.7	729
tt0036537	6.5	84
tt0036581	6.9	1175
tt0036778	6.2	57
tt0036862	5.5	52
tt0036935	6.0	37
tt0037125	5.0	43
tt0037335	5.9	236
tt0037479	7.4	170
tt0037619	5.7	51
tt0037672	6.1	201
tt0037701	5.4	271
tt0037881	6.8	13
